timestamp,position_lat,position_long,altitude,cadence,distance,speed,power,accumulated_power,vertical_oscillation,stance_time,activity_type,vertical_ratio,step_length,x_Effort Pace_0_16
1144402016,,,,,0,,,,,,1,,,
1144402017,606607785,55670464,,,0,,,,,,1,,,
1144402018,606607831,55670334,,,0,,,,,,1,,,
1144402019,606607916,55670124,,,0,,,,,,1,,,
1144402020,606608004,55669915,,,350,1450,,,0,0,1,0,7400,1.4490000009536743
1144402021,606608126,55669633,,,700,1464,,,0,0,1,0,7500,1.4630000591278076
1144402022,606608251,55669353,,72,950,1789,103,103,0,0,1,0,7500,1.7879999876022339
1144402023,606608395,55669038,2715,84,1200,2114,104,207,0,0,1,0,7500,2.11299991607666
1144402024,606608539,55668723,2715,84,1450,2164,127,334,0,0,1,0,7600,2.1630001068115234
1144402025,606608704,55668411,2715,85,1700,2217,150,484,0,0,1,0,7800,2.2160000801086426
1144402026,606608870,55668098,2715,85,1950,2264,154,638,0,0,1,0,7900,2.263000011444092
1144402027,606609068,55667871,2715,85,2200,2311,158,796,0,0,1,0,8100,2.311000108718872
1144402028,606609267,55667646,2710,86,2400,2336,161,957,0,0,1,0,8100,2.3359999656677246
1144402029,606609497,55667586,2710,87,2600,2364,164,1121,0,0,1,0,8200,2.36299991607666
1144402030,606609729,55667528,2710,87,2850,2372,165,1286,440,1270,1,550,8200,2.371999979019165
1144402031,606609967,55667637,2710,87,3100,2383,167,1453,880,2550,1,1110,8200,2.380000114440918
1144402032,606610206,55667748,2710,87,3350,2386,168,1621,880,2540,1,1100,8200,2.3380000591278076
1144402033,606610449,55667976,2710,87,3600,2389,169,1790,880,2530,1,1090,8200,2.2990000247955322
1144402034,606610694,55668205,2710,87,3900,2394,165,1955,880,2510,1,1080,8200,2.302000045776367
1144402035,606610927,55668508,2710,87,4200,2400,162,2117,880,2500,1,1070,8300,2.308000087738037
1144402036,606611160,55668813,2710,87,4500,2403,162,2279,880,2490,1,1070,8300,2.2720000743865967
1144402037,606611376,55669166,2710,87,4800,2408,163,2442,880,2480,1,1070,8300,2.2360000610351562
1144402038,606611593,55669519,2705,87,5100,2417,159,2601,870,2470,1,1060,8300,2.24399995803833
1144402039,606611795,55669884,2705,87,5400,2425,156,2757,870,2460,1,1050,8400,2.252000093460083
1144402040,606611997,55670250,2705,88,5650,2442,157,2914,860,2450,1,1040,8400,2.2660000324249268
1144402041,606612183,55670600,2705,88,5900,2461,158,3072,860,2450,1,1040,8400,2.2799999713897705
1144402042,606612369,55670949,2705,88,6150,2478,158,3230,860,2440,1,1030,8400,2.2990000247955322
1144402043,606612554,55671292,2705,89,6400,2497,159,3389,860,2440,1,1030,8400,2.319000005722046
1144402044,606612739,55671634,2705,88,6650,2503,160,3549,850,2430,1,1020,8400,2.322000026702881
1144402045,606612934,55671953,2705,88,6900,2511,162,3711,850,2430,1,1020,8500,2.3269999027252197
1144402046,606613130,55672272,2705,88,7150,2514,162,3873,850,2420,1,1010,8500,2.255000114440918
1144402047,606613342,55672564,2705,88,7400,2519,163,4036,850,2420,1,1010,8500,2.183000087738037
1144402048,606613556,55672855,2700,87,7700,2522,156,4192,850,2410,1,1000,8600,2.186000108718872
1144402049,606613790,55673136,2700,87,8000,2525,150,4342,850,2400,1,1000,8700,2.190999984741211
1144402050,606614025,55673418,2700,87,8300,2528,150,4492,850,2390,1,990,8700,2.190999984741211
1144402051,606614271,55673687,2700,87,8600,2531,150,4642,850,2390,1,990,8700,2.190999984741211
1144402052,606614516,55673958,2700,87,8850,2533,150,4792,850,2390,1,980,8700,2.194000005722046
1144402053,606614741,55674205,2695,87,9100,2536,150,4942,850,2400,1,980,8700,2.200000047683716
1144402054,606614966,55674452,2695,87,9300,2539,150,5092,840,2410,1,980,8700,2.200000047683716
1144402055,606615157,55674682,2695,87,9500,2542,151,5243,840,2420,1,980,8700,2.200000047683716
1144402056,606615348,55674913,2695,87,9700,2544,151,5394,840,2430,1,970,8700,2.2049999237060547
1144402057,606615539,55675150,2695,88,9900,2547,151,5545,840,2440,1,970,8700,2.2109999656677246
1144402058,606615731,55675388,2695,88,10150,2550,151,5696,840,2460,1,970,8700,2.2109999656677246
1144402059,606615929,55675631,2695,88,10400,2553,151,5847,840,2480,1,970,8700,2.2109999656677246
1144402060,606616128,55675874,2695,87,10650,2553,151,5998,840,2490,1,970,8700,2.2130000591278076
1144402061,606616325,55676116,2695,87,10900,2556,151,6149,850,2510,1,980,8700,2.2190001010894775
1144402062,606616523,55676359,2695,87,11150,2556,151,6300,850,2530,1,980,8700,2.255000114440918
1144402063,606616744,55676625,2695,86,11400,2556,152,6452,860,2550,1,980,8800,2.2909998893737793
1144402064,606616965,55676892,2695,85,11700,2556,155,6607,860,2570,1,980,8900,2.2909998893737793
1144402065,606617186,55677172,2695,85,12000,2556,159,6766,870,2590,1,990,9000,2.2909998893737793
1144402066,606617408,55677453,2695,84,12250,2550,159,6925,870,2610,1,990,9000,2.3269999027252197
1144402067,606617618,55677731,2695,84,12500,2547,159,7084,870,2630,1,990,9000,2.365999937057495
1144402068,606617828,55678010,2695,84,12700,2544,162,7246,870,2640,1,990,9000,2.3610000610351562
1144402069,606618041,55678273,2695,84,12900,2544,165,7411,880,2660,1,990,9000,2.3550000190734863
