"Split","Time","Moving Time","GetDistance","Elevation Gain","Elev Loss","Avg Pace","Avg Moving Pace","Best Pace","Avg Run Cadence","Max Run Cadence","Avg Stride Length","Avg HR","Max HR","Avg Temperature","Calories"
"1","00:06:23    ","00:06:23    ","1","0","20","00:06:24    ","00:06:17    ","00:03:07    ","87","90","90","--","--","25","55"
"2","00:06:59    ","00:06:59    ","1","4","1","00:07:00    ","00:06:14    ","00:02:45    ","81","92","88","--","--","23","54"
"3","00:06:11    ","00:06:11    ","1","0","4","00:06:12    ","00:06:00    ","00:05:09    ","87","92","92","--","--","23","59"
"4","00:05:27    ","00:05:27    ","1","18","1","00:05:28    ","00:05:29    ","00:04:21    ","87","92","105","--","--","23","56"
"5","00:05:19    ","00:05:19    ","1","2","16","00:05:19    ","00:05:13    ","00:04:19    ","88","90","107","--","--","23","61"
"6","00:05:29    ","00:05:29    ","1","3","3","00:05:29    ","00:05:27    ","00:05:16    ","88","91","104","--","--","24","55"
"7","00:05:23    ","00:05:23    ","1","11","1","00:05:23    ","00:05:19    ","00:05:12    ","87","90","106","--","--","27","58"
"8","00:05:22    ","00:05:22    ","1","0","9","00:05:22    ","00:05:15    ","00:04:55    ","87","89","107","--","--","26","57"
"9","00:04:47    ","00:04:47    ","1","2","3","00:04:47    ","00:04:53    ","00:03:07    ","88","103","118","--","--","23","63"
"10","00:05:00    ","00:05:00    ","1","12","10","00:05:01    ","00:04:49    ","00:03:53    ","87","91","114","--","--","22","62"
"11","00:03:36    ","00:03:36    ","0.72","13","1","00:05:02    ","00:04:56    ","00:03:27    ","86","101","115","--","--","22","47"
"Summary","01:00:00    ","01:00:00    ","10.72","65","69","00:05:36    ","00:05:28    ","00:02:45    ","87","103","103","--","167","24","627"
